"locus","slope","mid","G1","p.val1","G2","p.val2","X1","Y1","X2","Y2","c","w","sig.sd"
"2_33.02","0.0144267533293842","42.089724039171","2.77168418249811","0.428182441468259","0.225410138248169","0.634948226535261","36.6210005254949","0.803564567677929","47.5584475528471","0.961356417994746","20.0962991502797","44.486102108139","0.0961361180407732"
"2_33.04","-0.323873465526969","44.3475569477886","3.7612595927118","0.288424561559814","3.74823958135543","0.0528631595202138","44.105029170499","0.182675045558025","44.5900847250782","0.0255784221233637","650990369.967689","1359867223.06197","0.111608251396903"
"65_13.02","-0.129446509060326","37.2623152410777","3.94304177070143","0.267680638326309","3.96149439508957","0.0465523585014913","36.9476003882941","0.995088168174999","37.5770300938612","0.913610690090466","-184094201.642508","238362070.035197","0.062700337974862"
"65_13.03","0.00254186116087625","46.3499000195744","0.766988541883698","0.857345530492314","0.0546352869385736","0.815185338662983","34.4000030350899","0.0312132743983484","58.299797004059","0.0919632324410154","113.608707219052","96.1731205985297","0.0603508966845924"
"77_4.04","0.0071484554734084","39.6793364591868","1.06808654746517","0.784783159943279","0.292134364519423","0.588856014708843","34.4000002804307","0.833257247255125","44.9586726379428","0.908735446461108","0.923869557867244","81.8533462802608","0.0757908868488426"
"77_4.03","-0.118663014064398","36.2289849375884","6.36182224045834","0.0952741114090546","17.5560104510994","2.78967591891277e-05","35.5128940671679","0.253967887548267","36.9450758080089","0.084020885492072","340799556.4859","308817052.595766","0.141974522450744"
"79_92.02","-0.0382216003886221","38.1466710633884","6.04292689425147","0.109540313844587","5.98475507425287","0.014430046249833","34.4000000510194","0.509876506664966","41.8933420757573","0.223468982220166","381329411.139202","2608137037.07545","0.146316881225263"
"79_92.04","0.0849652056681592","36.5518311915005","6.86146087425283","0.0764470557845945","1.97287030624161","0.160143524476099","34.4186653670521","0.388273421262832","38.684997015949","0.750763167259936","34.0308176330433","43.1219602286994","0.0898499662375164"
"82_114.03","0.031200899987375","39.977916328297","6.77945782492808","0.0792694897951546","12.5851255606926","0.000388828911012662","34.4000000447411","0.665706803671308","45.5558326118528","1.01377881987366","33.5393229227335","11.0584438144699","0.0576176978636278"
"82_114.04","-0.0562306481994354","37.7708836446282","7.46870093407768","0.0583681360795348","7.46401122719826","0.00629445942174955","34.4000000133854","0.389514015951067","41.141767275871","0.0104200727717698","339851683.853777","910362779.960726","0.151692909417622"
"84_4.04","-0.0389245305077702","37.3144904874359","2.99186332554624","0.392881393452905","19.4019429854074","1.05899264406517e-05","35.1600028633725","0.832533253584274","39.4689781114994","0.66480841508133","-153032938.049652","161716211.309911","0.272704448961288"
"84_4.01","0.0394311787400448","37.675182915756","2.94612462551387","0.400006505625803","2.62694980611026","0.105063373369026","35.6184668626446","0.178073013910181","39.7318989688674","0.34027049052569","125.047345260624","338.556323660491","0.10765411693808"
"125_149.01","0.0309175213286574","41.4501039559111","6.0462295514543","0.10938259154027","1.45674366502539","0.227448949182026","34.4002024707581","0.120473878337886","48.5000054410642","0.556404837402193","51.1597093077713","45.8357721113492","0.132909826046509"
"125_149.03","-0.0301588915610281","41.7981488477537","6.01329777219041","0.110965048868283","6.52854195384288","0.0106156940275126","34.400000038429","0.876049634095608","49.1962976570784","0.429809698710064","-37023707.9525322","231176641.844461","0.198452353868191"
"133_54.03","0.00305512662937371","42.5550311452435","2.23880876752688","0.524344760248964","0.672172917291896","0.412295053475451","36.6100646497398","0.924995894411898","48.4999976407473","0.961321145314194","-41.8991948279335","122.039021390652","0.0255865317334048"
"133_54.01","-0.0202413286612658","46.022204454353","2.83593287229451","0.417618835107786","2.79617304375023","0.0944895939617606","45.0197741123173","0.0718241538139099","47.0246347963887","0.0312431097875699","164508010.410674","239839752.961623","0.0278557495018791"
"142_100.02","0.371257869566793","37.10334870063","4.04131077532549","0.257037726297512","0.2748146398012","0.60012020447333","36.9449440488121","0.860514367694353","37.2617533524479","0.978132314821116","27.0564142124428","16.969770824548","0.0609261494825846"
"142_100.04","-0.28409721019913","37.1171803691423","4.02582003608007","0.258689496558595","3.97242405495656","0.0462511449480043","36.9450006222672","0.119111868963482","37.2893601160174","0.0212802974834621","356733809.987964","516732596.535595","0.0748904664460311"
"238_69.04","42.8334323415588","37.1466901801559","7.4491260207561","0.0588801319445857","0.179907514891347","0.671452732821945","37.1415589204641","0.555506701889989","37.1518214398477","0.995085631560523","34.5008480942462","8.21172986472924","0.122065198025177"
"238_69.02","-6114002.63384893","36.9450000441406","4.33519943872579","0.227469640975342","5.13819722047832","0.0234049404609602","36.9450000309724","0.212844032332363","36.9450000573087","0.0518242033502251","100127377.909786","138978396.909804","0.195014624272803"
"239_22.03","0.579397804217743","37.2110416604069","7.91601576169953","0.0477796719236917","26.5147803547336","2.61529454759213e-07","36.9676322974544","0.294352899230411","37.4544510233594","0.576414600071832","-1153834535.22937","3657655991.7334","0.362673979014253"
"239_22.01","-0.404643281342204","37.2840661026302","7.87354876883836","0.0486986548176206","7.82027843348024","0.00516632360495017","36.9453096336056","0.70659868545629","37.6228225716548","0.432447627052269","-87424857.9700367","1636202377.37441","0.142712573078764"
"244_181.04","-20.1377242228528","40.5046739637349","1.23534073837394","0.7445412140167","1.1700799992683","0.279384803425364","40.502042811326","0.980966752148861","40.5073051161439","0.874995908948455","-185.965817892783","324.988034971098","0.144895306084435"
"244_181.03","175740.800458935","40.5000009365806","0.315895286195547","0.957011805175528","0.3433484251332","0.557902794740557","40.5000008666916","0.068659044945966","40.5000010064695","0.0932237230134816","31068373.0676244","47940491.1849474","0.145507070753083"
"247_30.04","0.0299624212696823","39.4526869516742","5.57101795916156","0.134452124479782","7.70505366893586","0.00550664359005781","34.4000012840134","0.717733935323248","44.5053726193351","1.02051532835873","33.1871759141353","9.82072208849133","0.0755905663784339"
"247_30.02","-16476.6817109767","37.1499939247521","8.68125743825436","0.0338431065763668","14.6258744886338","0.000131102129305782","37.1499847687835","0.313463249433686","37.1500030807208","0.0117432866230694","11460705.9645429","8751674.1442666","0.197610926513256"
"266_81.02","-0.111303172970013","37.3960516295513","7.49515956355542","0.0576829540071216","7.44674576112905","0.00635512473391719","36.1620853628333","0.972205568477335","38.6300178962693","0.697516846829982","-75049.8457757376","205543.306225944","0.125937815467077"
"266_81.04","0.601697625466668","37.0644958028481","7.81228759914953","0.0500547136148121","2.31086321293049","0.128472686277693","36.8498675871218","0.0336845349072752","37.2791240185743","0.291967110428532","65.8672659998682","65.4487856104169","0.0951862096419624"
"270_151.04","0.0107083050589553","40.4070504496223","3.31026804586375","0.346216078914196","5.95163347871651","0.0147036549877315","35.1600004916546","0.885018870702079","45.6541004075899","0.997392893921072","32.4434835866205","7.65111821414746","0.0428847942929542"
